user_id,gender,date_of_birth,workclass,education_level,education_num,marital_status,occupation,relationship,capital_gain,capital_loss,hours_per_week,approved,address,email,inquiry_purpose_code,institute_type,account_type,asset_class_cd,asset_code,portfolio_type,age,Probs,Class
8418,0,1987-01-03,2,1,7.0,4,11,4,0.0,0.0,17.0,0,17902,39343,14,7,34,7,0,3,33,0.002,0.0
14081,1,1970-01-07,4,15,10.0,2,2,0,0.0,0.0,48.0,0,19733,19012,4,5,34,7,0,3,50,0.32,0.0
42159,1,1973-01-06,2,11,9.0,0,11,1,0.0,0.0,50.0,0,34497,27495,4,5,34,7,0,3,47,0.006,0.0
24875,0,2001-12-30,2,1,7.0,4,11,3,0.0,0.0,15.0,0,28388,402,4,5,34,7,0,3,18,0.0,0.0
2457,1,1986-01-03,2,15,10.0,2,5,0,0.0,0.0,50.0,0,36680,35264,4,7,33,5,0,1,34,0.068,0.0
10536,0,1956-01-11,2,11,9.0,6,0,4,0.0,0.0,8.0,0,36707,12520,17,5,34,7,0,3,64,0.034,0.0
6832,0,2001-12-30,2,11,9.0,4,11,3,0.0,0.0,24.0,0,35563,5289,5,3,34,7,0,3,18,0.0,0.0
20042,0,1996-12-31,2,15,10.0,4,4,1,0.0,0.0,50.0,0,11087,5181,4,7,34,7,0,3,23,0.0,0.0
26631,1,1977-01-05,2,12,14.0,2,3,0,0.0,0.0,45.0,0,18635,33412,1,7,34,7,0,3,43,0.176,0.0
8735,0,1963-01-09,5,2,8.0,0,7,4,0.0,0.0,40.0,0,29644,11160,14,7,34,7,0,3,57,0.05,0.0
18027,1,1997-12-31,2,9,13.0,4,11,1,0.0,0.0,45.0,0,29512,14822,14,7,34,7,0,3,22,0.004,0.0
20,1,1996-12-31,2,9,13.0,4,6,3,0.0,0.0,40.0,0,34312,4122,1,7,34,7,0,3,23,0.0,0.0
3249,1,1988-01-03,4,12,14.0,4,9,1,0.0,0.0,40.0,0,19568,10871,4,5,34,7,0,3,32,0.07,0.0
10192,1,1999-12-31,2,15,10.0,4,12,3,0.0,0.0,15.0,0,9313,41854,6,5,34,7,0,3,20,0.0,0.0
14391,1,1987-01-03,2,15,10.0,2,13,0,0.0,0.0,40.0,0,33534,35760,4,5,34,7,0,3,33,0.024333333333333335,0.0
5842,0,1993-01-01,2,8,11.0,4,12,2,0.0,0.0,36.0,0,285,11404,4,5,34,7,0,3,27,0.0,0.0
10559,1,1996-12-31,2,11,9.0,4,5,3,0.0,0.0,50.0,0,24756,33925,9,5,34,7,0,3,23,0.0,0.0
5194,0,1996-12-31,5,7,12.0,4,0,1,0.0,0.0,25.0,0,19372,41942,17,7,33,2,0,1,23,0.002,0.0
29908,0,1983-01-04,4,15,10.0,0,3,4,0.0,0.0,40.0,0,1498,28866,9,7,34,7,0,3,37,0.024,0.0
30575,0,1981-01-04,2,15,10.0,0,3,1,0.0,0.0,40.0,0,8689,38637,17,7,34,7,0,3,39,0.12,0.0
27699,0,1992-01-02,2,2,8.0,0,6,1,0.0,0.0,40.0,0,12109,32542,4,7,34,7,0,3,28,0.002,0.0
20118,1,1982-01-04,2,9,13.0,0,12,2,0.0,0.0,40.0,0,31673,23627,17,7,34,7,0,3,38,0.06,0.0
10456,1,1976-01-06,2,15,10.0,5,2,1,0.0,1876.0,55.0,0,25705,32210,4,7,34,7,0,3,44,0.11,0.0
36306,1,1969-01-07,4,11,9.0,4,11,1,0.0,0.0,40.0,0,33558,16137,4,5,34,7,0,3,51,0.03,0.0
41861,1,1999-12-31,2,15,10.0,4,7,3,0.0,1719.0,36.0,0,37817,35840,4,5,34,7,0,3,20,0.0,0.0
7622,0,1995-01-01,2,15,10.0,4,13,1,0.0,0.0,45.0,0,19088,7935,14,7,1,7,0,1,25,0.024,0.0
38425,0,1975-01-06,2,11,9.0,6,2,1,0.0,0.0,40.0,0,33160,25594,14,7,34,7,0,3,45,0.14,0.0
2339,0,2002-12-30,2,1,7.0,4,0,3,0.0,0.0,12.0,0,43307,26563,4,7,34,7,0,3,17,0.0,0.0
14233,1,1956-01-11,1,12,14.0,2,9,0,0.0,0.0,25.0,0,22494,11396,4,5,34,7,0,3,64,0.1,0.0
29378,1,1986-01-03,2,11,9.0,2,0,0,0.0,1485.0,40.0,0,2952,39972,4,7,0,6,0,1,34,0.092,0.0
5885,1,1946-01-13,4,15,10.0,2,3,0,0.0,0.0,4.0,0,19747,15903,4,5,34,7,0,3,74,0.056,0.0
37003,1,1990-01-02,2,15,10.0,4,3,1,0.0,0.0,52.0,0,10444,30296,4,5,1,6,0,1,30,0.022,0.0
8773,1,1964-01-09,4,11,9.0,2,4,0,0.0,0.0,45.0,0,8114,8081,1,7,17,7,0,1,56,0.178,0.0
39064,1,1986-01-03,2,11,9.0,2,5,0,0.0,0.0,40.0,0,10916,32749,4,7,34,7,0,3,34,0.016,0.0
5454,1,1988-01-03,2,11,9.0,4,2,4,0.0,0.0,40.0,0,32649,16326,6,5,34,3,0,3,32,0.0,0.0
42821,1,1995-01-01,2,6,5.0,2,13,0,0.0,0.0,45.0,0,29621,28758,14,2,34,7,0,3,25,0.064,0.0
19351,1,1997-12-31,2,15,10.0,4,13,1,0.0,0.0,40.0,0,39243,33778,4,5,34,7,0,3,22,0.028,0.0
36677,1,1999-12-31,2,11,9.0,2,11,3,0.0,0.0,40.0,0,24497,14841,4,5,34,7,0,3,20,0.018600000000000002,0.0
21614,1,1978-01-05,2,5,4.0,0,2,4,0.0,0.0,40.0,0,26473,7416,17,5,34,7,0,3,42,0.004,0.0
8936,1,2001-12-30,2,11,9.0,4,6,3,0.0,0.0,20.0,0,33425,31615,4,5,34,7,0,3,18,0.0,0.0
37745,0,1996-12-31,2,0,6.0,2,6,3,0.0,0.0,40.0,0,38667,152,4,5,34,7,0,3,23,0.0,0.0
26165,1,1980-01-05,2,11,9.0,0,6,1,0.0,0.0,40.0,0,19799,9433,17,5,34,7,0,3,40,0.0,0.0
12900,1,1968-01-08,2,15,10.0,0,11,1,0.0,0.0,50.0,0,42094,13381,4,7,34,7,0,3,52,0.062,0.0
30669,0,1998-12-31,2,15,10.0,4,11,3,0.0,1602.0,22.0,0,41140,1215,17,5,18,7,0,1,21,0.0,0.0
23931,1,1975-01-06,2,15,10.0,0,6,4,0.0,0.0,48.0,0,31081,13899,0,7,34,7,0,3,45,0.034,0.0
18565,0,1981-01-04,2,11,9.0,0,0,4,0.0,0.0,40.0,0,14052,42411,6,7,34,7,0,3,39,0.0,0.0
7828,1,1966-01-08,2,11,9.0,2,2,0,0.0,0.0,44.0,0,11152,3340,4,5,34,7,0,3,54,0.4642047619047619,0.0
14935,0,1978-01-05,2,5,4.0,0,11,1,0.0,0.0,40.0,0,17714,32625,17,7,34,7,0,3,42,0.006,0.0
10173,1,1961-01-09,3,7,12.0,2,2,0,0.0,0.0,40.0,0,23566,34027,4,7,34,7,0,3,59,0.2005,0.0
12788,0,1969-01-07,5,15,10.0,0,0,1,0.0,0.0,40.0,0,20605,828,4,7,34,7,0,3,51,0.006,0.0
17274,1,1964-01-09,4,11,9.0,2,11,0,0.0,0.0,40.0,0,39641,22072,14,7,34,7,0,3,56,0.186,0.0
33402,1,1988-01-03,2,15,10.0,2,2,0,0.0,0.0,45.0,0,21915,18847,4,7,34,7,0,3,32,0.18426666666666666,0.0
32041,0,1996-01-01,2,9,13.0,4,3,3,0.0,0.0,40.0,0,9842,23106,9,5,34,7,0,3,24,0.0,0.0
8152,1,2000-12-30,2,15,10.0,4,9,3,0.0,0.0,11.0,0,13529,17940,4,5,1,6,0,1,19,0.0,0.0
5681,1,1991-01-02,2,11,9.0,2,5,0,0.0,0.0,42.0,0,3792,23852,4,7,34,7,0,3,29,0.026,0.0
38469,1,1996-01-01,2,15,10.0,2,2,0,0.0,0.0,60.0,0,29778,12643,4,5,34,7,0,3,24,0.092,0.0
21261,1,1979-01-05,5,12,14.0,0,9,1,0.0,0.0,35.0,0,29084,32191,4,7,1,5,0,1,41,0.04,0.0
5277,0,1996-12-31,2,5,4.0,2,5,2,0.0,0.0,30.0,0,20087,26500,14,7,35,5,0,2,23,0.02,0.0
14351,1,2001-12-30,2,11,9.0,4,11,3,0.0,0.0,10.0,0,29505,23878,9,7,34,7,0,3,18,0.0,0.0
31388,0,1982-01-04,2,11,9.0,5,13,4,0.0,0.0,30.0,0,6571,35986,4,7,34,7,0,3,38,0.002,0.0
7301,1,1991-01-02,2,9,13.0,4,9,1,0.0,0.0,50.0,0,17826,40446,14,7,18,7,0,1,29,0.13166666666666668,0.0
12516,1,1995-01-01,2,11,9.0,2,13,0,0.0,0.0,45.0,0,41977,2798,4,5,34,7,0,3,25,0.006,0.0
17748,1,1989-01-02,2,14,15.0,4,12,1,0.0,0.0,55.0,0,10817,27305,6,7,34,7,0,3,31,0.192,0.0
18038,0,1986-01-03,2,9,13.0,3,0,1,0.0,0.0,25.0,0,35010,23046,4,5,34,7,0,3,34,0.012,0.0
4691,1,1979-01-05,2,4,3.0,2,5,0,0.0,0.0,40.0,0,21467,36542,4,5,34,7,0,3,41,0.002,0.0
14199,1,1958-01-10,2,5,4.0,2,9,0,0.0,0.0,20.0,0,5271,40478,17,7,34,7,0,3,62,0.012,0.0
9724,1,1962-01-09,2,11,9.0,2,2,0,0.0,0.0,40.0,0,41202,38989,4,7,34,7,0,3,58,0.046,0.0
20608,0,1980-01-05,2,11,9.0,5,3,4,0.0,0.0,40.0,0,5893,37001,6,5,17,7,0,1,40,0.012,0.0
21728,1,2000-12-30,2,11,9.0,4,7,3,0.0,0.0,25.0,0,43221,36495,4,5,34,7,0,3,19,0.0,0.0
7219,1,1998-12-31,4,8,11.0,2,4,0,0.0,0.0,40.0,0,19872,36131,14,2,34,7,0,3,21,0.08,0.0
43149,0,1994-01-01,2,11,9.0,4,0,1,0.0,0.0,40.0,0,19385,9505,4,5,34,7,0,3,26,0.0,0.0
34499,1,1977-01-05,2,11,9.0,0,11,1,0.0,0.0,20.0,0,38437,12572,4,7,34,7,0,3,43,0.004,0.0
40945,0,1998-12-31,2,15,10.0,4,0,1,0.0,0.0,25.0,0,34055,16514,4,7,34,7,0,3,21,0.0,0.0
10208,0,1958-01-10,0,15,10.0,6,10,1,0.0,0.0,40.0,0,7654,23222,17,7,34,7,0,3,62,0.108,0.0
13394,1,1994-01-01,2,11,9.0,2,2,0,0.0,0.0,40.0,0,22035,21260,4,7,34,7,0,3,26,0.0,0.0
918,0,2001-12-30,2,1,7.0,4,11,3,0.0,0.0,20.0,0,38593,31836,6,5,34,7,0,3,18,0.0,0.0
40310,1,1955-01-11,4,11,9.0,2,11,0,0.0,0.0,55.0,0,22889,41917,6,5,33,7,3,1,65,0.124,0.0
9018,0,1989-01-02,2,6,5.0,4,7,4,0.0,0.0,20.0,0,34348,23529,4,5,34,7,0,3,31,0.0,0.0
37263,0,1997-12-31,2,9,13.0,4,0,3,0.0,0.0,35.0,0,12455,31408,0,5,34,6,0,3,22,0.002,0.0
9464,1,1984-01-04,1,15,10.0,2,10,0,0.0,0.0,48.0,0,26487,16984,17,7,2,5,2,1,36,0.176,0.0
11903,1,1985-01-03,2,15,10.0,2,12,0,0.0,0.0,45.0,0,20317,42475,17,5,30,5,0,1,35,0.138,0.0
37348,1,1983-01-04,4,11,9.0,2,13,0,0.0,0.0,30.0,0,38440,24370,4,5,34,7,0,3,37,0.032,0.0
21637,1,2001-12-30,2,1,7.0,4,7,3,0.0,0.0,20.0,0,26758,18250,17,5,34,7,0,3,18,0.0,0.0
39378,0,1964-01-09,2,12,14.0,2,3,5,0.0,0.0,50.0,0,29959,30655,6,5,34,7,0,3,56,0.296,0.0
22607,0,1997-12-31,2,15,10.0,4,2,2,0.0,0.0,40.0,0,10171,16692,4,7,34,7,0,3,22,0.0,0.0
25076,1,1982-01-04,2,11,9.0,0,3,1,0.0,0.0,40.0,0,13162,17196,6,5,17,7,0,1,38,0.028,0.0
12792,1,1987-01-03,2,11,9.0,4,5,3,0.0,0.0,40.0,0,19083,42972,17,5,9,6,0,1,33,0.0,0.0
611,1,1973-01-06,2,4,3.0,3,6,2,0.0,0.0,40.0,0,38844,41242,4,7,34,7,0,3,47,0.0,0.0
25682,0,1980-01-05,2,11,9.0,0,0,4,0.0,0.0,38.0,0,30488,16813,4,5,34,7,0,3,40,0.0,0.0
32191,1,1978-01-05,2,11,9.0,2,6,0,0.0,0.0,40.0,0,11062,25997,4,5,34,7,0,3,42,0.0389,0.0
17353,1,1969-01-07,2,1,7.0,2,5,0,0.0,0.0,40.0,0,4563,24656,1,5,34,7,0,3,51,0.012,0.0
42765,0,1976-01-06,2,15,10.0,0,0,4,0.0,0.0,57.0,0,19886,9816,14,7,34,7,0,3,44,0.05,0.0
16788,0,1995-01-01,2,1,7.0,4,6,3,0.0,0.0,40.0,0,190,14555,4,5,9,7,0,1,25,0.0,0.0
23587,1,1968-01-08,2,11,9.0,0,11,1,0.0,0.0,45.0,0,32104,2701,6,5,34,7,0,3,52,0.048,0.0
40409,0,1992-01-02,2,11,9.0,4,0,1,0.0,0.0,40.0,0,23564,39427,4,5,1,5,0,1,28,0.0,0.0
27830,1,1986-01-03,2,9,13.0,2,11,0,0.0,0.0,50.0,0,1556,24305,4,5,34,7,0,3,34,0.122,0.0
2153,1,1989-01-02,2,11,9.0,2,6,0,0.0,0.0,45.0,0,38635,26491,4,5,18,3,0,1,31,0.021333333333333333,0.0
28581,0,1985-01-03,2,15,10.0,0,11,1,0.0,0.0,35.0,0,20868,28063,4,5,34,7,0,3,35,0.006,0.0
34383,0,1995-01-01,2,15,10.0,4,0,3,0.0,0.0,40.0,0,12157,33597,17,7,34,7,0,3,25,0.0,0.0
22672,1,1977-01-05,4,11,9.0,4,4,1,0.0,0.0,60.0,0,14245,28443,4,5,34,7,0,3,43,0.006,0.0
21043,0,1997-12-31,2,15,10.0,4,10,3,0.0,0.0,20.0,0,43609,9171,4,7,1,2,0,1,22,0.0,0.0
35778,1,1979-01-05,2,7,12.0,0,11,4,0.0,0.0,40.0,0,3666,24744,4,7,34,7,0,3,41,0.004,0.0
3989,0,1986-01-03,2,6,5.0,5,6,4,0.0,0.0,35.0,0,23509,26712,4,5,1,3,0,1,34,0.002,0.0
32130,1,1977-01-05,2,1,7.0,2,5,0,0.0,0.0,40.0,0,8757,7540,4,5,34,7,0,3,43,0.002,0.0
33895,1,1996-12-31,2,1,7.0,2,7,0,0.0,0.0,40.0,0,6810,32535,17,7,34,7,0,3,23,0.0,0.0
20382,0,1987-01-03,2,11,9.0,5,6,4,0.0,0.0,40.0,0,3945,11241,4,7,34,7,0,3,33,0.0,0.0
36415,0,1956-01-11,2,9,13.0,4,11,4,0.0,0.0,40.0,0,43603,22488,4,5,34,7,0,3,64,0.034,0.0
18107,1,1985-01-03,2,15,10.0,4,3,1,0.0,0.0,50.0,0,41825,568,4,5,34,7,0,3,35,0.012,0.0
21558,0,1999-12-31,2,15,10.0,4,7,3,0.0,0.0,40.0,0,26137,11151,6,5,34,7,0,3,20,0.0,0.0
11713,1,1989-01-02,2,15,10.0,4,2,1,0.0,0.0,40.0,0,19274,41147,4,7,34,7,0,3,31,0.024,0.0
2006,0,1997-12-31,2,15,10.0,4,7,3,0.0,0.0,24.0,0,10190,13054,17,5,34,7,0,3,22,0.0,0.0
1035,1,1988-01-03,2,14,15.0,4,9,1,0.0,0.0,40.0,0,6556,9452,9,5,34,7,0,3,32,0.138,0.0
37106,0,1996-12-31,2,7,12.0,4,11,3,0.0,0.0,40.0,0,3168,4191,1,7,34,7,0,3,23,0.0,0.0
4970,1,1998-12-31,2,15,10.0,4,0,3,0.0,0.0,40.0,0,29982,20663,9,5,34,7,0,3,21,0.0,0.0
23064,0,1984-01-04,2,11,9.0,2,7,5,0.0,0.0,2.0,0,8304,1111,6,5,34,7,0,3,36,0.086,0.0
8504,1,1996-01-01,2,11,9.0,4,5,1,0.0,0.0,40.0,0,34225,45,17,7,34,7,0,3,24,0.0,0.0
9962,0,1995-01-01,2,15,10.0,4,9,1,0.0,0.0,40.0,0,18862,15895,4,5,34,7,0,3,25,0.0,0.0
22921,1,1982-01-04,5,11,9.0,4,7,1,0.0,0.0,40.0,0,7033,6532,17,7,34,7,0,3,38,0.006,0.0
16175,0,1977-01-05,2,15,10.0,0,6,4,0.0,0.0,38.0,0,20,6375,13,5,34,7,0,3,43,0.01,0.0
3458,1,1983-01-04,2,15,10.0,2,13,0,0.0,0.0,45.0,0,5322,1309,14,7,34,7,2,3,37,0.1970333333333333,0.0
23522,0,1978-01-05,2,8,11.0,0,9,1,0.0,0.0,40.0,0,33058,28790,12,5,34,7,0,3,42,0.034,0.0
22669,1,1987-01-03,2,11,9.0,2,4,0,0.0,0.0,50.0,0,37523,29873,0,7,9,7,0,1,33,0.14533333333333334,0.0
23198,0,1998-12-31,2,11,9.0,4,9,3,0.0,0.0,30.0,0,34639,3484,17,7,34,7,0,3,21,0.0,0.0
16147,1,1951-01-12,1,0,6.0,2,13,0,0.0,0.0,10.0,0,42034,1712,4,5,34,7,0,3,69,0.032,0.0
40540,0,1988-01-03,2,7,12.0,4,11,1,0.0,0.0,46.0,0,15977,14544,4,5,34,7,0,3,32,0.01,0.0
1649,1,1970-01-07,2,11,9.0,2,2,0,0.0,0.0,40.0,0,2664,40081,17,7,34,7,0,3,50,0.48030476190476196,0.0
9951,0,1975-01-06,2,11,9.0,0,7,1,0.0,0.0,40.0,0,38248,22777,4,5,34,7,0,3,45,0.0,0.0
31398,1,1989-01-02,2,11,9.0,2,0,0,0.0,0.0,35.0,0,37356,28969,14,7,34,7,0,3,31,0.04656666666666666,0.0
34731,0,1996-01-01,2,9,13.0,2,9,5,0.0,0.0,40.0,0,27757,3957,9,5,34,7,0,3,24,0.128,0.0
17066,0,1998-12-31,2,7,12.0,4,7,3,0.0,0.0,5.0,0,28650,9695,6,5,34,7,0,3,21,0.0,0.0
34181,1,1977-01-05,4,8,11.0,0,3,1,0.0,0.0,25.0,0,2969,3112,17,7,34,7,0,3,43,0.048,0.0
35659,0,1997-12-31,2,11,9.0,4,11,1,0.0,0.0,25.0,0,30472,42889,17,7,34,7,0,3,22,0.002,0.0
10897,1,1958-01-10,4,11,9.0,2,2,0,0.0,1740.0,40.0,0,24965,7088,17,7,34,7,0,3,62,0.42510000000000003,0.0
14441,1,1998-12-31,4,15,10.0,4,12,1,0.0,0.0,25.0,0,7287,14360,4,7,34,7,0,3,21,0.012,0.0
36170,0,1986-01-03,2,15,10.0,0,7,4,0.0,0.0,40.0,0,13646,38193,4,7,34,7,0,3,34,0.0,0.0
11320,0,1987-01-03,2,9,13.0,4,9,1,0.0,0.0,40.0,0,22806,31627,17,3,34,7,0,3,33,0.038,0.0
28148,1,2001-12-30,3,1,7.0,4,4,3,0.0,0.0,70.0,0,30027,25825,17,5,34,7,0,3,18,0.014,0.0
8161,1,1996-01-01,2,9,13.0,4,7,1,0.0,0.0,40.0,0,30789,31002,9,7,1,5,0,1,24,0.022,0.0
23479,1,1977-01-05,1,9,13.0,4,9,1,0.0,0.0,40.0,0,19690,23562,4,7,34,7,0,3,43,0.05,0.0
30397,1,1969-01-07,2,11,9.0,2,2,0,0.0,0.0,40.0,0,12852,12086,4,5,34,7,0,3,51,0.0002222222222222222,0.0
